Altitude (m),Thrust (N),Drag (N),Gravity (N)
1411.7649263458316,[82864.09574006  5160.6104272 ],[-12167.19887042   -757.74885129],[     0. -24525.]
1415.6104084933474,[82853.753394    5031.60772319],[-12269.88743095   -745.1353479 ],[     0. -24525.]
1419.3749365303645,[82843.5653252   4903.21589763],[-12372.92544442   -732.30943769],[     0. -24525.]
1423.0580481932213,[82833.53650564  4775.42837665],[-12476.31390784   -719.27079278],[     0. -24525.]
1426.6592844864135,[82823.6718433   4648.23865024],[-12580.05385972   -706.01907971],[     0. -24525.]
1430.178189657888,[82813.97618335  4521.64027124],[-12684.14638002   -692.55395914],[     0. -24525.]
1433.6143111746107,[82804.45430939  4395.6268543 ],[-12788.59259003   -678.87508572],[     0. -24525.]
1436.967199698408,[82795.11094461  4270.19207495],[-12893.39365223   -664.98210782],[     0. -24525.]
1440.2364090620736,[82785.95075291  4145.32966861],[-12998.55077018   -650.87466734],[     0. -24525.]
1443.4214962457443,[82776.97834005  4021.03342968],[-13104.06518844   -636.55239952],[     0. -24525.]
1446.5220213535356,[82768.19825475  3897.29721056],[-13209.93819243   -622.01493272],[     0. -24525.]
1449.5375475904384,[82759.61498975  3774.11492082],[-13316.17110834   -607.26188823],[     0. -24525.]
1452.4676412394715,[82751.23298289  3651.48052627],[-13422.76530297   -592.29288007],[     0. -24525.]
1455.3118716390893,[82743.05661814  3529.38804807],[-13529.7221837    -577.10751476],[     0. -24525.]
1458.0698111608403,[82735.0902266   3407.83156191],[-13637.04319829   -561.70539121],[     0. -24525.]
1460.7410351872743,[82727.33808751  3286.80519718],[-13744.72983485   -546.08610043],[     0. -24525.]
1463.3251220900952,[82719.80442925  3166.3031361 ],[-13852.78362169   -530.24922541],[     0. -24525.]
1465.821653208559,[82712.49343024  3046.31961294],[-13961.20612718   -514.19434092],[     0. -24525.]
1468.2302128281108,[82705.40921996  2926.84891324],[-14069.99895974   -497.92101331],[     0. -24525.]
1470.5503881592622,[82698.55587978  2807.885373  ],[-14179.16376762   -481.42880031],[     0. -24525.]
1472.7817693167044,[82691.93744393  2689.42337793],[-14288.70223886   -464.71725091],[     0. -24525.]
1474.9239492986546,[82685.55790038  2571.4573627 ],[-14398.6161012    -447.78590514],[     0. -24525.]
1476.9765239664353,[82679.42119169  2453.98181019],[-14508.9071219    -430.63429388],[     0. -24525.]
1478.939092024281,[82673.53121585  2336.9912508 ],[-14619.57710771   -413.26193872],[     0. -24525.]
