Time (s),Altitude (m),Thrust (N),Drag (N),Gravity (N)
104,68887.47118637103,[1755.36277844 3040.37751797],[-10.5674439   -6.92287427],[     0. -14715.]
105,69469.5469884082,[1710.533844   2962.73152588],[-9.85073683 -6.35993304],[     0. -14715.]
106,70043.78370484059,[1667.43060113 2888.07451925],[-9.19067267 -5.84651031],[     0. -14715.]
107,70610.13190661228,[1625.98347523 2816.28599136],[-8.58242438 -5.37799555],[     0. -14715.]
108,71168.54404704785,[1586.12594557 2747.25072493],[-8.02159856 -4.95022436],[     0. -14715.]
109,71718.97438781713,[1547.79441606 2680.85856829],[-7.50419526 -4.55943421],[     0. -14715.]
110,72261.37892800913,[1510.92809087 2617.00421996],[-7.02657156 -4.20222464],[     0. -14715.]
111,72795.71533619802,[1475.46885477 2555.58702145],[-6.58540858 -3.8755214 ],[     0. -14715.]
112,73321.94288538693,[1441.36115817 2496.510758  ],[-6.17768159 -3.57654427],[     0. -14715.]
113,73840.02239071834,[1408.55190661 2439.68346734],[-5.80063295 -3.30277802],[     0. -14715.]
114,74349.91614984263,[1376.99035478 2385.01725601],[-5.45174753 -3.05194634],[     0. -14715.]
115,74851.58788584002,[1346.62800483 2332.42812325],[-5.12873056 -2.82198838],[     0. -14715.]
116,75345.002692594,[1317.41850883 2281.83579212],[-4.82948744 -2.61103764],[     0. -14715.]
117,75830.12698251764,[1289.31757541 2233.1635477 ],[-4.55210553 -2.41740293],[     0. -14715.]
118,76306.9284365378,[1262.28288027 2186.33808215],[-4.29483761 -2.23955132],[     0. -14715.]
119,76775.37595624517,[1236.27398056 2141.2893464 ],[-4.0560869  -2.07609272],[     0. -14715.]
120,77235.43961812167,[1211.25223295 2097.95040824],[-3.83439351 -1.92576603],[     0. -14715.]
121,77687.09062975964,[0. 0.],[-3.62842206 -1.78742668],[     0. -14715.]
122,78128.93044977983,[0. 0.],[-3.43013005 -1.65304256],[     0. -14715.]
123,78560.95916777165,[0. 0.],[-3.24660848 -1.52986184],[     0. -14715.]
124,78983.17686585558,[0. 0.],[-3.07663901 -1.41684936],[     0. -14715.]
125,79395.58361937327,[0. 0.],[-2.91911505 -1.31307235],[     0. -14715.]
126,79798.17949750938,[0. 0.],[-2.77303074 -1.21768962],[     0. -14715.]
127,80190.96456385241,[0. 0.],[-2.63747117 -1.12994203],[     0. -14715.]
128,80573.93887690076,[0. 0.],[-2.51160355 -1.04914385],[     0. -14715.]
129,80947.10249051989,[0. 0.],[-2.39466932 -0.97467525],[     0. -14715.]
130,81310.4554543555,[0. 0.],[-2.2859771  -0.90597546],[     0. -14715.]
131,81663.99781420747,[0. 0.],[-2.1848963  -0.84253677],[     0. -14715.]
132,82007.72961236826,[0. 0.],[-2.09085145 -0.78389908],[     0. -14715.]
133,82341.65088792967,[0. 0.],[-2.00331706 -0.72964516],[     0. -14715.]
134,82665.76167706097,[0. 0.],[-1.92181297 -0.67939629],[     0. -14715.]
135,82980.06201326141,[0. 0.],[-1.84590026 -0.63280841],[     0. -14715.]
136,83284.55192758958,[0. 0.],[-1.77517744 -0.58956872],[     0. -14715.]
137,83579.23144887194,[0. 0.],[-1.70927714 -0.54939253],[     0. -14715.]
138,83864.10060389261,[0. 0.],[-1.64786303 -0.51202055],[     0. -14715.]
139,84139.15941756626,[0. 0.],[-1.59062711 -0.47721635],[     0. -14715.]
140,84404.40791309567,[0. 0.],[-1.53728719 -0.44476419],[     0. -14715.]
141,84659.84611211561,[0. 0.],[-1.48758471 -0.41446695],[     0. -14715.]
142,84905.47403482426,[0. 0.],[-1.44128269 -0.38614439],[     0. -14715.]
143,85141.29170010332,[0. 0.],[-1.39816388 -0.35963148],[     0. -14715.]
144,85367.29912562807,[0. 0.],[-1.35802918 -0.33477694],[     0. -14715.]
145,85583.49632796818,[0. 0.],[-1.32069609 -0.31144195],[     0. -14715.]
146,85789.88332268033,[0. 0.],[-1.28599737 -0.28949894],[     0. -14715.]
147,85986.46012439317,[0. 0.],[-1.25377986 -0.26883049],[     0. -14715.]
148,86173.22674688569,[0. 0.],[-1.22390331 -0.2493284 ],[     0. -14715.]
149,86350.18320315928,[0. 0.],[-1.19623946 -0.23089275],[     0. -14715.]
150,86517.32950550437,[0. 0.],[-1.17067105 -0.21343114],[     0. -14715.]
151,86674.66566556203,[0. 0.],[-1.14709111 -0.19685795],[     0. -14715.]
152,86822.19169438105,[0. 0.],[-1.12540212 -0.18109366],[     0. -14715.]
153,86959.90760247096,[0. 0.],[-1.10551545 -0.16606425],[     0. -14715.]
154,87087.81339985138,[0. 0.],[-1.08735067 -0.15170065],[     0. -14715.]
155,87205.90909609804,[0. 0.],[-1.07083508 -0.13793821],[     0. -14715.]
156,87314.19470038588,[0. 0.],[-1.05590321 -0.12471626],[     0. -14715.]
157,87412.67022152955,[0. 0.],[-1.04249639 -0.11197767],[     0. -14715.]
158,87501.33566802145,[0. 0.],[-1.03056237 -0.09966843],[     0. -14715.]
159,87580.19104806772,[0. 0.],[-1.020055   -0.08773728],[     0. -14715.]
160,87649.23636962248,[0. 0.],[-1.01093392 -0.07613539],[     0. -14715.]
161,87708.4716404203,[0. 0.],[-1.0031643  -0.06481602],[     0. -14715.]
162,87757.89686800746,[0. 0.],[-0.99671663 -0.05373417],[     0. -14715.]
163,87797.51205977183,[0. 0.],[-0.99156655 -0.04284638],[     0. -14715.]
164,87827.31722297195,[0. 0.],[-0.98769466 -0.03211035],[     0. -14715.]
165,87847.31236476517,[0. 0.],[-0.98508644 -0.02148473],[     0. -14715.]
166,87857.49749223523,[0. 0.],[-0.98373213 -0.01092886],[     0. -14715.]
167,87857.87261241938,[0. 0.],[-9.83626692e-01 -4.02469062e-04],[     0. -14715.]
